framework,framework_id,category,framework_control,proposed_label,confidence,notes
nist,MANAGE-3,Manage,"Processes exist to document and communicate residual AI risks to relevant stakeholders and decision-makers.",GAP,high,"No control addresses this"
nist,MANAGE-4,Manage,"Incident response, recovery, and communication plans specific to AI system failures or unexpected behaviour are established.",CTL-009,high,"Clear direct match"
eu_ai_act,EUAI-1,Risk Management,"A continuous risk management process is established, implemented, documented, and maintained across the AI system's lifecycle.",GAP,medium,"CTL-005 (annual policy review) is periodic, not continuous - you previously called this pairing weak/needs improvement"
eu_ai_act,EUAI-2,Data Governance,"Training, validation, and testing data sets are subject to data governance practices covering relevance, representativeness, and error examination.",CTL-006,high,"Clear direct match, confirmed earlier"
eu_ai_act,EUAI-3,Technical Documentation,"Technical documentation is drawn up before the system is placed on the market and kept up to date, demonstrating compliance with requirements.",GAP,high,"You confirmed CTL-006 was not a real match for this"
eu_ai_act,EUAI-4,Record-Keeping,"The AI system is designed to allow automatic recording of events (logs) over the system's lifetime to ensure traceability.",CTL-003,high,"Clear direct match, confirmed earlier"
eu_ai_act,EUAI-5,Transparency,"The AI system is designed to be sufficiently transparent so deployers can interpret outputs and use the system appropriately.",GAP,high,"No control addresses transparency/interpretability"
eu_ai_act,EUAI-6,Human Oversight,"The AI system is designed to be effectively overseen by natural persons, including the ability to intervene or halt the system.",CTL-007,high,"Clear direct match, confirmed earlier"
eu_ai_act,EUAI-7,"Accuracy, Robustness, Security","The AI system achieves an appropriate level of accuracy, robustness, and cybersecurity, and performs consistently throughout its lifecycle.",GAP,low,"CTL-002 covers accuracy only, not robustness/cybersecurity - your call"
eu_ai_act,EUAI-8,Quality Management,"A quality management system is in place ensuring compliance, including strategy for regulatory compliance and post-market monitoring.",GAP,high,"No control addresses this"
eu_ai_act,EUAI-9,Conformity Assessment,"The AI system undergoes the relevant conformity assessment procedure prior to being placed on the market or put into service.",GAP,high,"You confirmed CTL-004 was not a real match for this"
eu_ai_act,EUAI-10,Post-Market Monitoring,"A post-market monitoring system is established and proportionate to the nature of the AI technology and risks involved.",GAP,high,"No control addresses this"
eu_ai_act,EUAI-11,Incident Reporting,"Processes exist to report serious incidents or malfunctioning to relevant market surveillance authorities within required timeframes.",GAP,medium,"CTL-009 covers internal incident response, not external regulatory reporting specifically - your call"
iso42001,ISO-1,Leadership,"Top management demonstrates leadership and commitment to the AI management system, including setting an AI policy.",CTL-005,high,"You corrected this pairing earlier in the session"
iso42001,ISO-2,Roles & Responsibilities,"Roles, responsibilities, and authorities relevant to the AI management system are assigned and communicated.",GAP,high,"No control addresses general role assignment; confirmed as a genuine flagged gap in the full cross-encoder run"
iso42001,ISO-3,Risk Assessment,"A process exists to assess risks and opportunities specific to AI systems, including impacts on individuals and groups.",GAP,high,"No control addresses this"
iso42001,ISO-4,AI System Impact Assessment,"AI system impact assessments are performed considering potential consequences for individuals, groups, and society.",GAP,high,"No control addresses this"
iso42001,ISO-5,Resource Management,"Resources needed for the AI management system, including competent personnel and infrastructure, are identified and provided.",GAP,low,"CTL-010 (training) touches 'competent personnel' loosely - your call"
iso42001,ISO-6,Competence & Awareness,"Personnel are competent and aware of the AI policy, their contribution, and implications of non-conformity.",CTL-010,high,"Direct match - note the cross-encoder actually underscored this pair (0.373) despite it being a correct match, worth keeping as ground truth regardless of what the model says"
iso42001,ISO-7,Lifecycle Control,"Operational planning and control exist for AI system development, deployment, and decommissioning across the lifecycle.",GAP,high,"No control addresses this"
iso42001,ISO-8,Data Management,"Processes govern the quality, provenance, and suitability of data used to develop and operate AI systems.",CTL-006,high,"Clear direct match, confirmed earlier"
iso42001,ISO-9,Third-Party & Supplier Management,"Risks arising from third-party and supplier relationships involved in AI systems are identified and managed.",CTL-004,high,"Clear direct match on vendor risk"
iso42001,ISO-10,Performance Evaluation,"The performance and effectiveness of the AI management system are monitored, measured, analysed, and evaluated.",GAP,low,"CTL-008 (audit) or CTL-002 (metrics) both partially adjacent but neither is really about management-system effectiveness - your call"
iso42001,ISO-11,Internal Audit,"Internal audits are conducted at planned intervals to assess conformance of the AI management system.",CTL-008,high,"Clear direct match, the strongest result in the whole cross-encoder run"
iso42001,ISO-12,Management Review,"Top management reviews the AI management system at planned intervals to ensure continuing suitability and effectiveness.",CTL-001,medium,"You picked this pairing earlier over CTL-005, on the basis that CTL-001's sign-off gate is a recurring governance activity even without saying 'review' - worth re-confirming since CTL-005 explicitly says 'reviewed annually'"
iso42001,ISO-13,Continual Improvement,"Nonconformities are addressed and opportunities for continual improvement of the AI management system are pursued.",GAP,high,"No control addresses this"
